lat,lon,alt,date,device,os,version
51.5449028015,-0.00884628668427,11,2017-02-09 10:08:00,"iPhone8,1",11.2.6,1
51.5237236023,0.162109360099,11,2017-02-09 10:20:48,"iPhone8,1",10.2.1,1.1
51.5237236023,0.162109360099,11,2017-02-09 10:20:48,"iPhone8,1",11.2.6,1
51.420917511,0.321586638689,28,2017-02-09 10:27:12,"iPhone8,1",10.2.1,1.1
51.420917511,0.321586638689,28,2017-02-09 10:27:12,"iPhone8,1",11.2.6,1
51.371219635,0.477980792522,10.1549682617,2017-02-09 10:31:28,"iPhone8,1",10.2.1,1.1
51.371219635,0.477980792522,10.1549682617,2017-02-09 10:31:28,"iPhone8,1",11.2.6,1
51.2595252991,0.619719684124,10.1549682617,2017-02-09 10:37:52,"iPhone8,1",10.2.1,1.1
51.2595252991,0.619719684124,10.1549682617,2017-02-09 10:37:52,"iPhone8,1",11.2.6,1
51.1564674377,0.852921128273,39.7776794434,2017-02-09 10:42:08,"iPhone8,1",10.2.1,1.1
51.1564674377,0.852921128273,39.7776794434,2017-02-09 10:42:08,"iPhone8,1",11.2.6,1
51.1335144043,0.879897654057,38.374294281,2017-02-09 10:52:48,"iPhone8,1",10.2.1,1.1
51.1335144043,0.879897654057,38.374294281,2017-02-09 10:52:48,"iPhone8,1",11.2.6,1
51.1430435181,0.876599550247,29.6358032227,2017-02-09 10:57:04,"iPhone8,1",10.2.1,1.1
51.1430435181,0.876599550247,29.6358032227,2017-02-09 10:57:04,"iPhone8,1",11.2.6,1
51.1044044495,0.976989805698,50.8256950378,2017-02-09 11:05:36,"iPhone8,1",10.2.1,1.1
51.1044044495,0.976989805698,50.8256950378,2017-02-09 11:05:36,"iPhone8,1",11.2.6,1
51.0942230225,1.08068048954,65.7345657349,2017-02-09 11:09:52,"iPhone8,1",10.2.1,1.1
51.0942230225,1.08068048954,65.7345657349,2017-02-09 11:09:52,"iPhone8,1",11.2.6,1
51.0836448669,1.17657983303,26.9692382812,2017-02-09 11:16:16,"iPhone8,1",10.2.1,1.1
